track_id;rank;track_name;artist;date_added;popularity
06qMRF18gwbOYYbnP2du6i;1;Last Christmas - Single Version;Wham!;2023-12-24 08:57:00;89
0bYg9bo50gSsH3LtXe2SQn;2;All I Want for Christmas Is You;Mariah Carey;2023-12-24 08:57:00;100
2EjXfH91m7f8HiJN1yQg97;3;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-24 08:57:00;98
7uoFMmxln0GPXQ0AcCBXRq;4;Snowman;Sia;2023-12-24 08:57:00;94
7vQbuQcyTflfCIOu3Uzzya;5;Jingle Bell Rock;Bobby Helms;2023-12-24 08:57:00;94
2TE4xW3ImvpltVU0cPcKUn;6;Merry Christmas Everyone;Shakin' Stevens;2023-12-24 08:57:00;91
0lizgQ7Qw35od7CYaoMBZb;7;Santa Tell Me;Ariana Grande;2023-12-24 08:57:00;96
2uFaJJtFpPDc5Pa95XzTvg;8;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-24 08:57:00;95
3Z3QhZAZpqwZa1phsbQ3JZ;9;Driving Home for Christmas;Chris Rea;2023-12-24 08:57:00;75
5ASM6Qjiav2xPe7gRkQMsQ;10;Sleigh Ride;The Ronettes;2023-12-24 08:57:00;84
3ZfRpDV74gUbBCmW8yb6ml;11;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-24 08:57:00;87
3gBhiIj76UJQ7jlrUR4qjc;12;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-24 08:57:00;79
6tjituizSxwSmBB5vtgHZE;13;Holly Jolly Christmas;Michael Bublé;2023-12-24 08:57:00;83
5YeWMDlueFQ2727lVfGaIg;14;Dzień jeden w roku;Czerwone Gitary;2023-12-24 08:57:00;67
4z77VPWmxxMosO4o2jD8uT;15;Kto Wie?;De Su;2023-12-24 08:57:00;68
3YZE5qDV7u1ZD1gZc47ZeR;16;Underneath the Tree;Kelly Clarkson;2023-12-24 08:57:00;86
0oPdaY4dXtc3ZsaG17V972;17;Feliz Navidad;José Feliciano;2023-12-24 08:57:00;88
2g59LWL5y0BuPsyJZQTubb;18;Z kopyta kulig rwie;Skaldowie;2023-12-24 08:57:00;66
4EHHB2Gfa9d4iPx8JsCd65;19;HIPNOZA;NIKOŚ;2023-12-24 08:57:00;73
4Yg2w0P29BBBMixyeNjDtj;20;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-24 08:57:00;89
6IyM1d0DOlb8S3tUGi7wPB;21;Coraz Bliżej Święta;Margaret;2023-12-24 08:57:00;68
3AymrUApW5JKKaNrHQhcBG;22;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-24 08:57:00;75
4kKdvXD0ez7jp1296JmAts;23;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-24 08:57:00;91
1SmlDkUf67T8x2DiWyyfy4;24;Ding dong;Kayah;2023-12-24 08:57:00;66
27RYrbL6S02LNVhDWVl38b;25;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-24 08:57:00;92
0DhKkQjcrOXLBr9eCtocfc;26;Kevin sam w domu;Blacha 2115;2023-12-24 08:57:00;63
0YWUHZPJVg4iujddsJDwhM;27;My Only Wish (This Year);Britney Spears;2023-12-24 08:57:00;88
3fuoTmO1gkYP8dPUdT0LR8;28;Zaśnieżone miasta;Gromee;2023-12-24 08:57:00;66
1SV1fxF65n9NhRHp3KlBuu;29;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-24 08:57:00;91
3AgiRs3oxc2dFh0CPUHXJs;30;Mistletoe and Wine;Cliff Richard;2023-12-24 08:57:00;79
1kuhnhugcuXf4CiNdqCRUU;31;BFF;bambi;2023-12-24 08:57:00;74
7xapw9Oy21WpfEcib2ErSA;32;Mistletoe;Justin Bieber;2023-12-24 08:57:00;92
4tHqQMWSqmL6YjXwsqthDI;33;Carol of the Bells;Mykola Dmytrovych Leontovych;2023-12-24 08:57:00;85
3bH2Eu9A9ymI4UnGHRmoXg;34;Merry Christmas;Ed Sheeran;2023-12-24 08:57:00;89
1N1ZpYUJc9fwrqk53FGgWv;35;Santa's Coming for Us;Sia;2023-12-24 08:57:00;87
2pXpURmn6zC5ZYDMms6fwa;36;It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra);Perry Como;2023-12-24 08:57:00;90
5E6Nv8QZblXpiFDQ8iSfE2;37;Fluid;ReTo;2023-12-24 08:57:00;73
18bAMjHACL9Iphk0KB0z7o;38;Stan;Gibbs;2023-12-24 08:57:00;65
3Yww1k7Up2ja2ytfmXjJp8;39;Wonderful Dream (Holidays Are Coming) - Radio Version;Melanie Thornton;2023-12-24 08:57:00;64
0rHToGels2lt8Y0mCYoF90;40;Deck The Hall;Nat King Cole;2023-12-24 08:57:00;88
4PS1e8f2LvuTFgUs1Cn3ON;41;The Christmas Song (Merry Christmas To You);Nat King Cole;2023-12-24 08:57:00;74
2JJ6WnAfVglnYfxZubSukn;42;Jolie Jolie;Blacha 2115;2023-12-24 08:57:00;72
5Qw74vxmtJzAEYjy1wfVCk;43;Dzięki, że jesteś;Lanberry;2023-12-24 08:57:00;69
4fzyvSu73BhGvi96p2zwjL;44;Christmas Lights;Coldplay;2023-12-24 08:57:00;85
6pVW5LRWgeLaHudxauOTJU;45;Jingle Bell Rock - Daryl's Version;Daryl Hall & John Oates;2023-12-24 08:57:00;86
0HZk0QsXPhMNAWNDR3rYE8;46;Hallelujah;Pentatonix;2023-12-24 08:57:00;81
78hH2iGVmsmdPk50AhU2F4;47;Autumn Dance;L.U.C.;2023-12-24 08:57:00;49
3rUGC1vUpkDG9CZFHMur1t;48;greedy;Tate McRae;2023-12-24 08:57:00;98
0X1bF7CkMCif03ygcSDVOj;49;Całkiem Nowa Bajka;Kleks;2023-12-24 08:57:00;63
7LoFMtL7hxP9tr5HYyyUrJ;50;Christmas Time;Bryan Adams;2023-12-24 08:57:00;72
