track_id;rank;track_name;artist;date_added;popularity
4EHHB2Gfa9d4iPx8JsCd65;1;HIPNOZA;NIKOŚ;2023-12-27 09:24:40;73
0DhKkQjcrOXLBr9eCtocfc;2;Kevin sam w domu;Blacha 2115;2023-12-27 09:24:40;64
06qMRF18gwbOYYbnP2du6i;3;Last Christmas - Single Version;Wham!;2023-12-27 09:24:40;89
0bYg9bo50gSsH3LtXe2SQn;4;All I Want for Christmas Is You;Mariah Carey;2023-12-27 09:24:40;100
1kuhnhugcuXf4CiNdqCRUU;5;BFF;bambi;2023-12-27 09:24:40;74
7uoFMmxln0GPXQ0AcCBXRq;6;Snowman;Sia;2023-12-27 09:24:40;94
2EjXfH91m7f8HiJN1yQg97;7;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-27 09:24:40;98
5E6Nv8QZblXpiFDQ8iSfE2;8;Fluid;ReTo;2023-12-27 09:24:40;73
2TE4xW3ImvpltVU0cPcKUn;9;Merry Christmas Everyone;Shakin' Stevens;2023-12-27 09:24:40;91
7vQbuQcyTflfCIOu3Uzzya;10;Jingle Bell Rock;Bobby Helms;2023-12-27 09:24:40;94
0lizgQ7Qw35od7CYaoMBZb;11;Santa Tell Me;Ariana Grande;2023-12-27 09:24:40;96
33FD8jBm5LZaQ2jJS3vXzm;12;Stan;Gibbs;2023-12-27 09:24:40;65
2uFaJJtFpPDc5Pa95XzTvg;13;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-27 09:24:40;95
0ZoHHROTzwIYeNAHRPedTY;14;Driving Home for Christmas;Chris Rea;2023-12-27 09:24:40;75
2GgLLdsRjbiAtN5nfm7i7i;15;Miyabi;PRO8L3M;2023-12-27 09:24:40;68
7fUYUcWy853HS8YJn0b3Sr;16;Sleigh Ride;The Ronettes;2023-12-27 09:24:40;84
2JJ6WnAfVglnYfxZubSukn;17;Jolie Jolie;Blacha 2115;2023-12-27 09:24:40;71
1rv46mRwDqMEhOBZ7vODg3;18;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-27 09:24:40;87
5Qw74vxmtJzAEYjy1wfVCk;19;Dzięki, że jesteś;Lanberry;2023-12-27 09:24:40;69
5YeWMDlueFQ2727lVfGaIg;20;Dzień jeden w roku;Czerwone Gitary;2023-12-27 09:24:40;68
1IcR6RlgvDczfvoWJSSY2A;21;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-27 09:24:40;79
3rUGC1vUpkDG9CZFHMur1t;22;greedy;Tate McRae;2023-12-27 09:24:40;98
4z77VPWmxxMosO4o2jD8uT;23;Kto Wie?;De Su;2023-12-27 09:24:40;69
78hH2iGVmsmdPk50AhU2F4;24;Autumn Dance;L.U.C.;2023-12-27 09:24:40;49
2WBejVahXeC1gjCXVOlgbq;25;JEREMY SOCHAN;Oki;2023-12-27 09:24:40;71
2PF5O4wQHtD9KpxNALuoBD;26;Ciapakwybujany;GM2L;2023-12-27 09:24:40;64
