track_id;rank;track_name;artist;date_added;popularity
4EHHB2Gfa9d4iPx8JsCd65;1;HIPNOZA;NIKOŚ;2023-12-16 09:39:37;69
06qMRF18gwbOYYbnP2du6i;2;Last Christmas - Single Version;Wham!;2023-12-16 09:39:37;88
0bYg9bo50gSsH3LtXe2SQn;3;All I Want for Christmas Is You;Mariah Carey;2023-12-16 09:39:37;99
7uoFMmxln0GPXQ0AcCBXRq;4;Snowman;Sia;2023-12-16 09:39:37;94
2EjXfH91m7f8HiJN1yQg97;5;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-16 09:39:37;97
1kuhnhugcuXf4CiNdqCRUU;6;BFF;bambi;2023-12-16 09:39:37;76
7vQbuQcyTflfCIOu3Uzzya;7;Jingle Bell Rock;Bobby Helms;2023-12-16 09:39:37;93
2TE4xW3ImvpltVU0cPcKUn;8;Merry Christmas Everyone;Shakin' Stevens;2023-12-16 09:39:37;90
0lizgQ7Qw35od7CYaoMBZb;9;Santa Tell Me;Ariana Grande;2023-12-16 09:39:37;95
5E6Nv8QZblXpiFDQ8iSfE2;10;Fluid;ReTo;2023-12-16 09:39:37;74
18bAMjHACL9Iphk0KB0z7o;11;Stan;Gibbs;2023-12-16 09:39:37;66
3gBhiIj76UJQ7jlrUR4qjc;12;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-16 09:39:37;79
4ltVdPcmgfSlsicK4ZIQGT;13;CEO;Asster;2023-12-16 09:39:37;31
3rUGC1vUpkDG9CZFHMur1t;14;greedy;Tate McRae;2023-12-16 09:39:37;100
3moDqdYK90QDw3Lk9q5yDE;15;Mam Cię;Paluch;2023-12-16 09:39:37;71
3Z3QhZAZpqwZa1phsbQ3JZ;16;Driving Home for Christmas;Chris Rea;2023-12-16 09:39:37;74
5ASM6Qjiav2xPe7gRkQMsQ;17;Sleigh Ride;The Ronettes;2023-12-16 09:39:37;83
2uFaJJtFpPDc5Pa95XzTvg;18;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-16 09:39:37;95
6tjituizSxwSmBB5vtgHZE;19;Holly Jolly Christmas;Michael Bublé;2023-12-16 09:39:37;82
3ZfRpDV74gUbBCmW8yb6ml;20;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-16 09:39:37;86
5OYaQw9IS8MMDFRgTPqDnR;21;Nicea;PRO8L3M;2023-12-16 09:39:37;66
2JJ6WnAfVglnYfxZubSukn;22;Jolie Jolie;Blacha 2115;2023-12-16 09:39:37;73
78hH2iGVmsmdPk50AhU2F4;23;Autumn Dance;L.U.C.;2023-12-16 09:39:37;50
3YZE5qDV7u1ZD1gZc47ZeR;24;Underneath the Tree;Kelly Clarkson;2023-12-16 09:39:37;85
0nQljvBR8fuT0nmLKZ6hqi;25;Byłem człowiekiem;PRO8L3M;2023-12-16 09:39:37;68
3QHZAr43uvIGpWfJAHhFX3;26;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2023-12-16 09:39:37;71
2GgLLdsRjbiAtN5nfm7i7i;27;Miyabi;PRO8L3M;2023-12-16 09:39:37;68
2WBejVahXeC1gjCXVOlgbq;28;JEREMY SOCHAN;Oki;2023-12-16 09:39:37;73
