track_id;rank;track_name;artist;date_added;popularity
06qMRF18gwbOYYbnP2du6i;1;Last Christmas - Single Version;Wham!;2023-12-25 08:54:00;89
0bYg9bo50gSsH3LtXe2SQn;2;All I Want for Christmas Is You;Mariah Carey;2023-12-25 08:54:00;100
2EjXfH91m7f8HiJN1yQg97;3;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-25 08:54:00;98
2TE4xW3ImvpltVU0cPcKUn;4;Merry Christmas Everyone;Shakin' Stevens;2023-12-25 08:54:00;91
7vQbuQcyTflfCIOu3Uzzya;5;Jingle Bell Rock;Bobby Helms;2023-12-25 08:54:00;94
7uoFMmxln0GPXQ0AcCBXRq;6;Snowman;Sia;2023-12-25 08:54:00;94
0lizgQ7Qw35od7CYaoMBZb;7;Santa Tell Me;Ariana Grande;2023-12-25 08:54:00;96
2uFaJJtFpPDc5Pa95XzTvg;8;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-25 08:54:00;95
5YeWMDlueFQ2727lVfGaIg;9;Dzień jeden w roku;Czerwone Gitary;2023-12-25 08:54:00;68
3Z3QhZAZpqwZa1phsbQ3JZ;10;Driving Home for Christmas;Chris Rea;2023-12-25 08:54:00;75
4z77VPWmxxMosO4o2jD8uT;11;Kto Wie?;De Su;2023-12-25 08:54:00;69
5ASM6Qjiav2xPe7gRkQMsQ;12;Sleigh Ride;The Ronettes;2023-12-25 08:54:00;84
3ZfRpDV74gUbBCmW8yb6ml;13;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-25 08:54:00;87
3gBhiIj76UJQ7jlrUR4qjc;14;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-25 08:54:00;79
6tjituizSxwSmBB5vtgHZE;15;Holly Jolly Christmas;Michael Bublé;2023-12-25 08:54:00;83
2g59LWL5y0BuPsyJZQTubb;16;Z kopyta kulig rwie;Skaldowie;2023-12-25 08:54:00;67
6IyM1d0DOlb8S3tUGi7wPB;17;Coraz Bliżej Święta;Margaret;2023-12-25 08:54:00;68
0oPdaY4dXtc3ZsaG17V972;18;Feliz Navidad;José Feliciano;2023-12-25 08:54:00;88
1SmlDkUf67T8x2DiWyyfy4;19;Ding dong;Kayah;2023-12-25 08:54:00;67
3YZE5qDV7u1ZD1gZc47ZeR;20;Underneath the Tree;Kelly Clarkson;2023-12-25 08:54:00;86
4Yg2w0P29BBBMixyeNjDtj;21;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-25 08:54:00;89
3fuoTmO1gkYP8dPUdT0LR8;22;Zaśnieżone miasta;Gromee;2023-12-25 08:54:00;66
