track_id;rank;track_name;artist;date_added;popularity
6epWbDEEEOakzBeyNr69MO;1;Plaster;Szpaku;2024-01-10 11:27:27;63
5dQ174Gi0u3FOq0xF32PEr;2;Erotyczne Pif-Paf;Figo i Samogony;2024-01-10 11:27:27;71
3a4hbzdiwoXYVa0n9XRyDK;3;HIPNOZA;NIKOŚ;2024-01-10 11:27:27;29
5Qw74vxmtJzAEYjy1wfVCk;4;Dzięki, że jesteś;Lanberry;2024-01-10 11:27:27;73
4qN8jx5g3h1oKz95qr3bF0;5;Jestem Twoją Bajką;Kleks;2024-01-10 11:27:27;62
1kuhnhugcuXf4CiNdqCRUU;6;BFF;bambi;2024-01-10 11:27:27;76
0DhKkQjcrOXLBr9eCtocfc;7;Kevin sam w domu;Blacha 2115;2024-01-10 11:27:27;72
33zbrcm0cYIxT5YvEGlFDl;8;Całkiem Nowa Bajka;Kleks;2024-01-10 11:27:27;68
0JvlaGyGok0jMp8wCQhI9p;9;NIENAWIDZĘ WARSZAWY!;Chivas;2024-01-10 11:27:27;67
2GgLLdsRjbiAtN5nfm7i7i;10;Miyabi;PRO8L3M;2024-01-10 11:27:27;72
7nl0YfumgokUqNDfVlYvkd;11;Garfield;Szpaku;2024-01-10 11:27:27;62
33FD8jBm5LZaQ2jJS3vXzm;12;Stan;Gibbs;2024-01-10 11:27:27;66
3rUGC1vUpkDG9CZFHMur1t;13;greedy;Tate McRae;2024-01-10 11:27:27;100
3XWr2NZqYd80MB8FIq9r55;14;Ne Rozumiju;Vixen;2024-01-10 11:27:27;70
2JJ6WnAfVglnYfxZubSukn;15;Jolie Jolie;Blacha 2115;2024-01-10 11:27:27;73
30r5RN2yGoKzanggEzqrzM;16;Fluid;ReTo;2024-01-10 11:27:27;64
1NtvjagHJRLQogzWVhpghv;17;Nim Zajdzie Słońce;Smolasty;2024-01-10 11:27:27;73
2r0tCQsTvEwkKEcZ9pYwZt;18;W KRAJU SCHABOWYCH KOTLETÓW;Mata;2024-01-10 11:27:27;70
2PF5O4wQHtD9KpxNALuoBD;19;Ciapakwybujany;GM2L;2024-01-10 11:27:27;70
78hH2iGVmsmdPk50AhU2F4;20;Autumn Dance;L.U.C.;2024-01-10 11:27:27;51
5XVUws9S5FP89vNdxrysfp;21;Anioł Stróż;Szpaku;2024-01-10 11:27:27;60
3QHZAr43uvIGpWfJAHhFX3;22;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2024-01-10 11:27:27;72
5mjYQaktjmjcMKcUIcqz4s;23;Strangers;Kenya Grace;2024-01-10 11:27:27;96
3bK1zVFBKIzYjmptmI4NsJ;24;Overdrive (feat. Norma Jean Martine);Ofenbach;2024-01-10 11:27:27;86
0h3Xy4V4apMraB5NuM8U7Z;25;Stumblin' In;CYRIL;2024-01-10 11:27:27;75
3QAU2pj4LUKf7yaTgANlQV;26;ITALODISCO;The Kolors;2024-01-10 11:27:27;80
2WBejVahXeC1gjCXVOlgbq;27;JEREMY SOCHAN;Oki;2024-01-10 11:27:27;72
4OMJGnvZfDvsePyCwRGO7X;28;Houdini;Dua Lipa;2024-01-10 11:27:27;94
3moDqdYK90QDw3Lk9q5yDE;29;Mam Cię;Paluch;2024-01-10 11:27:27;71
6g76ndArDHwMe3OsrYxKiu;30;PASEK PLAYBOYA;MIÜ;2024-01-10 11:27:27;64
49pLSmIFXk7rTfWcQ2Bvh7;31;Nicea;PRO8L3M;2024-01-10 11:27:27;67
4u3pVIKFDquOVeyvkc1Hjh;32;5 INFLUENCEREK;Zeamsone;2024-01-10 11:27:27;69
1fBrFnMzvb5WetxfgadcH9;33;Animal Planet;Szpaku;2024-01-10 11:27:27;59
1Eaiv6OMMwO3v4iWl4eHHY;34;Motyle;Sylwia Grzeszczak;2024-01-10 11:27:27;57
1cnkQScXEGBZKqqy6EjVZo;35;NIE MA CIĘ;Fukaj;2024-01-10 11:27:27;69
3mzugJrKyhJNzZKS0RgWBg;36;MILLIE WALKY;bambi;2024-01-10 11:27:27;63
4uayCD0blZhblTiQqKLYiC;37;Skippers;Young Leosia;2024-01-10 11:27:27;64
1odExI7RdWc4BT515LTAwj;38;Daylight;David Kushner;2024-01-10 11:27:27;95
2FHBvsUs4tpHSzIi3GvRjK;39;Ground Zero;PRO8L3M;2024-01-10 11:27:27;69
59NraMJsLaMCVtwXTSia8i;40;Prada;cassö;2024-01-10 11:27:27;94
086THPnabbu1zfDjRsxpoN;41;MONEY ON THE DASH - SPED UP;Elley Duhé;2024-01-10 11:27:27;82
7CyPwkp0oE8Ro9Dd5CUDjW;42;One Of The Girls (with JENNIE, Lily Rose Depp);The Weeknd;2024-01-10 11:27:27;97
61rJpXPZ4wkqmdsLYJu6LK;43;Z Tobą na chacie;Daria Zawiałow;2024-01-10 11:27:27;66
4BgTgPsNeDz2KG4QsshjL9;44;BLUEBERRY;Guzior;2024-01-10 11:27:27;69
4vhYckF7yzomDdqoHb3dIl;45;Kulig;Kaz Bałagane;2024-01-10 11:27:27;69
4EqPIm07a55pJQRSZw2Z4X;46;Supermoce (feat. Igo, Mrozu & Vito Bambino);Męskie Granie Orkiestra;2024-01-10 11:27:27;70
4tKGFmENO69tZR9ahgZu48;47;Murder On The Dancefloor;Sophie Ellis-Bextor;2024-01-10 11:27:27;79
5fLvitH2z3igxp5haldJhc;48;JOEY TRIBBIANI;Mata;2024-01-10 11:27:27;66
17phhZDn6oGtzMe56NuWvj;49;Lose Control;Teddy Swims;2024-01-10 11:27:27;88
2oILgeSykGjl0N9m0VvAjO;50;TYLE SŁOŃCA;White Widow;2024-01-10 11:27:27;70
