track_id;rank;track_name;artist;date_added;popularity
5dQ174Gi0u3FOq0xF32PEr;1;Erotyczne Pif-Paf;Figo i Samogony;2024-01-04 09:30:06;65
0JvlaGyGok0jMp8wCQhI9p;2;NIENAWIDZĘ WARSZAWY!;Chivas;2024-01-04 09:30:06;40
4EHHB2Gfa9d4iPx8JsCd65;3;HIPNOZA;NIKOŚ;2024-01-04 09:30:06;74
2r0tCQsTvEwkKEcZ9pYwZt;4;W KRAJU SCHABOWYCH KOTLETÓW;Mata;2024-01-04 09:30:06;65
0DhKkQjcrOXLBr9eCtocfc;5;Kevin sam w domu;Blacha 2115;2024-01-04 09:30:06;69
1kuhnhugcuXf4CiNdqCRUU;6;BFF;bambi;2024-01-04 09:30:06;74
5Qw74vxmtJzAEYjy1wfVCk;7;Dzięki, że jesteś;Lanberry;2024-01-04 09:30:06;71
2GgLLdsRjbiAtN5nfm7i7i;8;Miyabi;PRO8L3M;2024-01-04 09:30:06;69
33FD8jBm5LZaQ2jJS3vXzm;9;Stan;Gibbs;2024-01-04 09:30:06;65
3rUGC1vUpkDG9CZFHMur1t;10;greedy;Tate McRae;2024-01-04 09:30:06;98
33zbrcm0cYIxT5YvEGlFDl;11;Całkiem Nowa Bajka;Kleks;2024-01-04 09:30:06;65
2JJ6WnAfVglnYfxZubSukn;12;Jolie Jolie;Blacha 2115;2024-01-04 09:30:06;71
2PF5O4wQHtD9KpxNALuoBD;13;Ciapakwybujany;GM2L;2024-01-04 09:30:06;67
5mjYQaktjmjcMKcUIcqz4s;14;Strangers;Kenya Grace;2024-01-04 09:30:06;95
78hH2iGVmsmdPk50AhU2F4;15;Autumn Dance;L.U.C.;2024-01-04 09:30:06;49
30r5RN2yGoKzanggEzqrzM;16;Fluid;ReTo;2024-01-04 09:30:06;52
1NtvjagHJRLQogzWVhpghv;17;Nim Zajdzie Słońce;Smolasty;2024-01-04 09:30:06;71
3QHZAr43uvIGpWfJAHhFX3;18;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2024-01-04 09:30:06;70
4qN8jx5g3h1oKz95qr3bF0;19;Jestem Twoją Bajką;Kleks;2024-01-04 09:30:06;58
3QAU2pj4LUKf7yaTgANlQV;20;ITALODISCO;The Kolors;2024-01-04 09:30:06;78
3bK1zVFBKIzYjmptmI4NsJ;21;Overdrive (feat. Norma Jean Martine);Ofenbach;2024-01-04 09:30:06;84
3XWr2NZqYd80MB8FIq9r55;22;Ne Rozumiju;Vixen;2024-01-04 09:30:06;68
5fLvitH2z3igxp5haldJhc;23;JOEY TRIBBIANI;Mata;2024-01-04 09:30:06;62
